
Timestamp              CPU USAGE (%)       
2024-03-30 15:59:36       4.8 
2024-03-30 15:59:37       0 
2024-03-30 15:59:59       16.7 
2024-03-30 16:00:00       11.5 
2024-03-30 16:00:02       23.7 
2024-03-30 16:00:03       1.6 
2024-03-30 16:00:04       4.8 
2024-03-30 16:00:22       39.6 
2024-03-30 16:00:23       48 
2024-03-30 16:00:25       17.9 
2024-03-30 16:00:59       19 
2024-03-30 16:01:00       7.8 
2024-03-30 16:01:27       44.7 
2024-03-30 16:01:28       6.8 
2024-03-30 16:01:29       40 
2024-03-30 16:01:30       44.7 
2024-03-30 16:01:47       6.6 
2024-03-30 16:01:48       10.2 
2024-03-30 16:01:49       43.5 
2024-03-30 16:01:50       19 
2024-03-30 16:02:31       6 
2024-03-30 16:02:32       13 
2024-03-30 16:02:33       17.5 
2024-03-30 16:02:35       11.5 
2024-03-30 16:02:36       33.3 
2024-03-30 16:03:25       3.1 
2024-03-30 16:03:27       2.4 
2024-03-30 16:03:28       7.6 
2024-03-30 16:03:29       50 
2024-03-30 16:03:31       48.9 
2024-03-30 16:04:20       15.5 
2024-03-30 16:04:21       3.1 
2024-03-30 16:04:23       2.6 
2024-03-30 16:30:11       1.2 
2024-03-30 16:30:12       8.8 
2024-03-30 16:30:13       4.5 
2024-03-30 16:30:15       6.9 
2024-03-30 16:30:16       12.1 
2024-03-30 16:40:18       12.2 
2024-03-30 16:40:19       18.2 
2024-04-01 09:19:10       30.1 
2024-04-01 09:19:12       21.2 
2024-04-01 09:19:13       23.4 
2024-04-01 09:19:14       12.1 
2024-04-01 09:19:15       14.9 
2024-04-15 09:09:18       1.4 
2024-04-15 09:09:21       4.5 
2024-04-15 09:09:25       8.6 
2024-04-15 09:09:28       1.6 
2024-04-15 09:09:31       21 
2024-04-15 09:57:39       4.7 
2024-04-15 09:57:41       1.6 
2024-04-15 09:57:42       4.7 
2024-04-15 09:57:43       12.5 
2024-04-15 09:57:45       12.9 
2024-04-22 09:47:48       95 
2024-04-22 09:47:49       92 
2024-04-22 09:47:50       98 
2024-04-22 09:47:51       97 
2024-04-22 09:47:53       95 
2024-04-29 16:56:34       100 
2024-04-29 16:56:35       94 
2024-04-29 16:56:36       97 
2024-04-29 16:56:37       100 
2024-04-29 16:56:39       98 
2024-04-29 16:58:38       91 
2024-04-29 16:58:39       99 
2024-04-29 16:58:41       100 
2024-04-29 16:58:42       93 
2024-04-29 16:58:43       91 
2024-04-29 17:01:37       94 
2024-04-29 17:01:37       93 
2024-04-29 17:01:37       97 
2024-04-29 17:01:37       97 
2024-04-29 17:01:37       98 
2024-04-29 17:06:26       92 
2024-04-29 17:06:26       96 
2024-04-29 17:06:26       93 
2024-04-29 17:06:27       97 
2024-04-29 17:06:27       96 
2024-04-29 17:06:46       93 
2024-04-29 17:06:47       100 
2024-04-29 17:06:47       96 
2024-04-29 17:06:47       93 
2024-04-29 17:06:48       92 
2024-04-29 17:07:44       100 
2024-04-29 17:07:45       91 
2024-04-29 17:07:45       91 
2024-04-29 17:07:45       91 
2024-04-29 17:07:46       95 
2024-04-29 17:08:14       93 
2024-04-29 17:08:14       92 
2024-04-29 17:08:15       93 
2024-04-29 17:08:15       98 
2024-04-29 17:08:15       93 
2024-04-29 17:13:28       93 
2024-04-29 17:13:33       95 
2024-04-29 17:13:38       99 
2024-04-29 17:13:43       98 
2024-04-29 17:13:49       96 
2024-04-29 17:15:34       96 
2024-04-29 17:15:39       92 
2024-04-29 17:15:45       99 
2024-04-29 17:15:50       100 
2024-04-29 17:15:55       99 
2024-04-29 17:18:50       98 
2024-04-29 17:18:51       100 
2024-04-29 17:18:52       96 
2024-04-29 17:18:53       95 
2024-04-29 17:18:55       93 
2024-04-29 17:20:03       95 
2024-04-29 17:20:04       96 
2024-04-29 17:20:06       92 
2024-04-29 17:20:07       96 
2024-04-29 17:20:08       100 
2024-04-29 17:47:29       100 
2024-04-29 17:47:30       91 
2024-04-29 17:47:31       97 
2024-04-29 17:47:32       100 
2024-04-29 17:47:34       91 
2024-05-10 21:57:31       95 
2024-05-10 21:57:33       96 
2024-05-10 21:57:34       96 
2024-05-10 21:59:12       92 
2024-05-10 21:59:25       95 
2024-05-10 22:02:34       100 
2024-05-10 22:29:02       99 
2024-05-10 22:30:55       97 
2024-05-10 22:30:56       92 
2024-05-10 22:30:58       94 
2024-05-10 22:30:59       100 
2024-05-10 22:31:00       96 
2024-05-10 22:32:48       97 
2024-05-10 22:33:11       95 
2024-05-10 22:34:16       93 
2024-05-10 22:37:34       99 
2024-05-10 22:37:36       93 
2024-05-10 22:37:38       96 
2024-05-10 22:37:39       91 
2024-05-10 22:37:41       100 
2024-05-10 22:45:29       93 
2024-05-10 22:47:09	97 
2024-05-10 22:47:10	93 
2024-05-10 22:47:12	98 
2024-05-10 22:47:13	96 
2024-05-10 22:47:14	100 
2024-05-10 22:47:49	92 
2024-05-10 22:47:57	97 
2024-05-10 23:02:54	98 
2024-05-10 23:02:56	99 
2024-05-10 23:02:57	100 
2024-05-10 23:02:58	93 
2024-05-10 23:02:59	96 
2024-05-10 23:03:25	95 
2024-05-10 23:04:43	95 
2024-05-10 23:04:51	100 
2024-05-10 23:05:32	100 
2024-05-10 23:06:34	95 
2024-05-10 23:07:19	93 
2024-05-10 23:07:21	100 
2024-05-10 23:07:22	95 
2024-05-10 23:07:23	95 
2024-05-10 23:07:24	96 
2024-05-10 23:17:22	100 
2024-05-10 23:18:21	99 
2024-05-10 23:19:33	96 
2024-05-10 23:19:34	96 
2024-05-10 23:19:35	91 
2024-05-10 23:19:37	96 
2024-05-10 23:19:38	100 
2024-05-10 23:20:35	93 
2024-05-10 23:21:22	91 
2024-05-10 23:21:23	96 
